# smlt_path=b11,gsimlt_path=b12_b22_b32,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1723835817
Mag,Dist,Eps,poe
7.375,175.0,0.0,0.0
7.375,175.0,2.0,7.144337751e-05
7.375,185.0,-2.0,0.0
7.375,185.0,0.0,0.0
7.375,185.0,2.0,3.518630105e-05
7.375,195.0,-2.0,0.0
7.375,195.0,0.0,0.0
7.375,195.0,2.0,4.285193645e-05
7.625,5.0,-2.0,0.0
7.625,5.0,0.0,0.0
7.625,5.0,2.0,0.0
7.625,15.0,-2.0,0.0
7.625,15.0,0.0,0.0
7.625,15.0,2.0,0.0
7.625,25.0,-2.0,0.0
7.625,25.0,0.0,0.0007472128576
7.625,25.0,2.0,0.0006536673752
7.625,35.0,-2.0,0.0
7.625,35.0,0.0,8.204754643e-06
7.625,35.0,2.0,0.0008412300636
7.625,45.0,-2.0,0.0
7.625,45.0,0.0,5.491694074e-05
7.625,45.0,2.0,0.001325325417
7.625,55.0,-2.0,0.0
7.625,55.0,0.0,7.665538534e-05
7.625,55.0,2.0,0.0009420093846
7.625,65.0,-2.0,0.0
7.625,65.0,0.0,8.818850304e-05
7.625,65.0,2.0,0.0009842694898
7.625,75.0,-2.0,0.0
7.625,75.0,0.0,7.992855952e-05
7.625,75.0,2.0,0.0009452506298
7.625,85.0,-2.0,0.0
7.625,85.0,0.0,6.792219401e-05
7.625,85.0,2.0,0.00112750784
7.625,95.0,-2.0,0.0
7.625,95.0,0.0,5.435726437e-05
7.625,95.0,2.0,0.001039135605
7.625,105.0,-2.0,0.0
7.625,105.0,0.0,3.395094792e-05
7.625,105.0,2.0,0.001128455881
7.625,115.0,-2.0,0.0
7.625,115.0,0.0,1.799660145e-05
7.625,115.0,2.0,0.001190186402
7.625,125.0,-2.0,0.0
7.625,125.0,0.0,1.024006754e-05
7.625,125.0,2.0,0.0008703685674
7.625,135.0,-2.0,0.0
7.625,135.0,0.0,7.319875031e-06
7.625,135.0,2.0,0.0009260535548
7.625,145.0,-2.0,0.0
7.625,145.0,0.0,3.975361719e-06
7.625,145.0,2.0,0.0007727232944
7.625,155.0,-2.0,0.0
7.625,155.0,0.0,7.428536807e-07
7.625,155.0,2.0,0.0006988166193
7.625,165.0,-2.0,0.0
7.625,165.0,0.0,0.0
7.625,165.0,2.0,0.000202659523
7.625,175.0,-2.0,0.0
7.625,175.0,0.0,0.0
7.625,175.0,2.0,0.0002017754372
7.625,185.0,-2.0,0.0
7.625,185.0,0.0,0.0
7.625,185.0,2.0,0.0001016357499
7.625,195.0,-2.0,0.0
7.625,195.0,0.0,0.0
7.625,195.0,2.0,0.0001456368313
7.875,5.0,-2.0,0.0
7.875,5.0,0.0,0.0
7.875,5.0,2.0,0.0
7.875,15.0,-2.0,0.0
7.875,15.0,0.0,0.0
7.875,15.0,2.0,0.0
7.875,25.0,-2.0,0.0
7.875,25.0,0.0,0.0004039958791
7.875,25.0,2.0,0.0002233494407
7.875,35.0,-2.0,0.0
7.875,35.0,0.0,4.505776228e-05
7.875,35.0,2.0,0.000882123444
7.875,45.0,-2.0,0.0
7.875,45.0,0.0,0.0001201147243
7.875,45.0,2.0,0.0006644353034
7.875,55.0,-2.0,0.0
7.875,55.0,0.0,0.0001746843031
7.875,55.0,2.0,0.0005376448339
7.875,65.0,-2.0,0.0
7.875,65.0,0.0,0.0002149913099
7.875,65.0,2.0,0.0006696298019
7.875,75.0,-2.0,0.0
7.875,75.0,0.0,0.000263386576
7.875,75.0,2.0,0.0004282976447
7.875,85.0,-2.0,0.0
7.875,85.0,0.0,0.0002787271523
7.875,85.0,2.0,0.0007122969002
7.875,95.0,-2.0,0.0
7.875,95.0,0.0,0.0002615212163
7.875,95.0,2.0,0.0005027770195
7.875,105.0,-2.0,0.0
7.875,105.0,0.0,0.0002291686025
7.875,105.0,2.0,0.000673187152
7.875,115.0,-2.0,0.0
7.875,115.0,0.0,0.0002008333432
7.875,115.0,2.0,0.0008239995036
7.875,125.0,-2.0,0.0
7.875,125.0,0.0,0.0001674395915
7.875,125.0,2.0,0.0005028942074
7.875,135.0,-2.0,0.0
7.875,135.0,0.0,0.0001411129796
7.875,135.0,2.0,0.0006068879205
7.875,145.0,-2.0,0.0
7.875,145.0,0.0,0.0001106181016
7.875,145.0,2.0,0.0005313709913
7.875,155.0,-2.0,0.0
7.875,155.0,0.0,3.593119533e-05
7.875,155.0,2.0,0.0004336937806
7.875,165.0,-2.0,0.0
7.875,165.0,0.0,4.69968058e-06
7.875,165.0,2.0,0.0001225401032
7.875,175.0,-2.0,0.0
7.875,175.0,0.0,0.0
7.875,175.0,2.0,0.0002100532419
7.875,185.0,-2.0,0.0
7.875,185.0,0.0,0.0
7.875,185.0,2.0,4.461695894e-05
7.875,195.0,-2.0,0.0
7.875,195.0,0.0,0.0
7.875,195.0,2.0,0.0001307433058
8.125,5.0,-2.0,0.0
8.125,5.0,0.0,0.0
8.125,5.0,2.0,0.0
8.125,15.0,-2.0,0.0
8.125,15.0,0.0,0.0
8.125,15.0,2.0,0.0
8.125,25.0,-2.0,0.0
8.125,25.0,0.0,0.0004341118289
8.125,25.0,2.0,0.0001776267477
8.125,35.0,-2.0,0.0
8.125,35.0,0.0,0.0007298661636
8.125,35.0,2.0,0.001124107601
8.125,45.0,-2.0,0.0
8.125,45.0,0.0,0.0005473662877
8.125,45.0,2.0,0.0007441727352
8.125,55.0,-2.0,0.0
8.125,55.0,0.0,0.000551463208
8.125,55.0,2.0,0.0007307124771
8.125,65.0,-2.0,0.0
8.125,65.0,0.0,0.0006838119764
8.125,65.0,2.0,0.0009797831395
8.125,75.0,-2.0,0.0
8.125,75.0,0.0,0.0005943702832
8.125,75.0,2.0,0.0004938220655
8.125,85.0,-2.0,0.0
8.125,85.0,0.0,0.0007374315659
8.125,85.0,2.0,0.001137765853
8.125,95.0,-2.0,0.0
8.125,95.0,0.0,0.0005944939658
8.125,95.0,2.0,0.0004624675514
8.125,105.0,-2.0,0.0
8.125,105.0,0.0,0.0005942394395
8.125,105.0,2.0,0.0009282707814
8.125,115.0,-2.0,0.0
8.125,115.0,0.0,0.0005705285987
8.125,115.0,2.0,0.001273974741
8.125,125.0,-2.0,0.0
8.125,125.0,0.0,0.0005311808919
8.125,125.0,2.0,0.0004852792727
